barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,child_woman_ratio,pop_cbms_secondary,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,ratio_child,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_pwd,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,domestic_workers_female,domestic_workers_male,domestic_workers_total
Bahay Toro,8,2,8,2,0,22,0,42,,1,2.9584,59576,29244,30332,3173,1592,1581,3137,1589,1548,6310,3181,3129,11554,5994,5560,36132,17777,18355,5580,2292,3288,635,192,443,6310,17864,20137.9,9276.0,2161,3135.5,155.7,730.5,36.3,3.63,96.4,30.81,319.5,44342.0,3.29,1.07,15.31,5.15,3.757,7.0,0.15,649.0,284.0,365.0,1.267828843,1.267828843,2.556727389,2.514932411,0.3584229391,0.6082725061,0.872600349,3.70198982,7.013069812,14.2118863,13.84518565,1.904102475,3.956834532,3.670337004,3.149606299,4.514672686,10.41666667,0.03357056533,0.06593696426,0.06839009711,0.3169572108,0.6391818472,0.6287331028,0.3584229391,0.6082725061,0.872600349,0.9254974549,1.0,0.0,1.0
Balingasa,1,1,1,0,0,3,0,6,,1,0.7985,19244,9603,9641,1031,503,528,1020,505,515,2051,1008,1043,3997,2069,1928,11641,5856,5785,1555,670,885,121,34,87,2051,6048,24100.2,2616.0,577,3276.1,135.9,722.6,30.0,3.0,99.6,30.06,322.3,11659.0,3.47,1.12,15.46,3.81,3.662,9.27,1.43,134.0,62.0,72.0,0.4875670405,0.4875670405,0.9587727709,0.9920634921,0.0,0.0,0.0,1.733102253,2.941176471,5.825242718,5.940594059,0.7505629222,1.556016598,1.449975834,0.0,0.0,0.0,0.0519642486,0.1037236801,0.1041341248,0.4875670405,0.9587727709,0.9920634921,0.6430868167,1.129943503,1.492537313,1.733102253,3.0,0.0,3.0
Balong-bato,1,0,0,0,0,1,0,2,,6,0.3718,6991,3398,3593,383,193,190,427,210,217,810,403,407,1510,742,768,4057,1997,2060,614,256,358,69,28,41,810,2320,18803.1,1114.0,285,2996.2,159.3,766.5,40.8,4.08,94.6,29.47,352.4,5252.0,3.56,1.19,32.45,6.91,3.553,11.25,5.37,154.0,54.0,100.0,1.234567901,1.234567901,2.457002457,2.481389578,0.0,0.0,0.0,0.0,2.341920375,4.608294931,4.761904762,0.6622516556,1.302083333,1.347708895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
Batasan Hills,13,5,5,1,1,59,0,84,,2,5.8713,166477,82905,83572,10402,5347,5055,10144,5202,4942,20546,10549,9997,37086,19076,18010,97152,48292,48860,11693,4988,6705,837,216,621,20546,57632,28354.4,20060.0,4731,3416.6,120.5,805.8,28.4,2.84,99.2,29.35,385.0,127640.0,3.66,1.08,18.23,5.35,3.658,3.69,0.16,1492.0,671.0,821.0,0.6327265648,0.6327265648,1.300390117,1.232344298,0.08552125203,0.149142431,0.2004811548,1.056859015,5.816246057,11.93848644,11.34179162,1.590896834,3.275957801,3.092891592,1.19474313,1.610305958,4.62962963,0.0300341789,0.05982865074,0.06030999337,0.2433563711,0.500150045,0.4739785762,0.4276062602,0.7457121551,1.002405774,1.056859015,901.0,57.0,958.0
Bayanihan,1,0,0,0,0,3,0,4,,3,0.0635,613,309,304,13,6,7,18,14,4,31,20,11,113,62,51,402,203,199,67,24,43,8,2,6,31,144,9653.5,172.0,58,2708.7,280.6,913.4,94.6,9.46,101.6,32.46,115.4,234.0,2.96,1.0,32.91,5.06,3.068,4.22,0.0,43.0,21.0,22.0,32.25806452,32.25806452,90.90909091,50.0,0.0,0.0,0.0,0.0,166.6666667,750.0,214.2857143,26.54867257,58.82352941,48.38709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Ridge A,0,0,0,0,0,0,0,0,,3,0.2612,1534,720,814,65,49,16,67,31,36,132,80,52,232,107,125,982,458,524,188,75,113,37,12,25,132,364,5872.9,336.0,74,1286.4,219.0,283.3,48.2,4.82,88.5,34.16,252.8,584.0,3.44,1.24,46.47,0.59,1.356,6.86,0.59,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
Blue Ridge B,0,0,0,0,0,2,0,2,,3,0.1426,1071,470,601,29,15,14,33,17,16,62,32,30,127,84,43,672,269,403,210,85,125,47,10,37,62,189,7510.5,298.0,59,2089.8,278.2,413.7,55.1,5.51,78.2,37.63,151.2,299.0,2.96,1.1,10.89,3.96,3.596,2.31,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60606061,125.0,117.6470588,15.7480315,46.51162791,23.80952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,20.0,121.0
Botocan,1,0,0,0,0,0,0,1,,4,0.0378,6643,3337,3306,450,260,190,396,207,189,846,467,379,1646,846,800,3727,1856,1871,424,168,256,36,8,28,846,2492,175740.7,1041.0,270,27539.7,156.7,7142.9,40.6,4.06,100.9,28.16,419.8,6515.0,4.06,1.27,53.55,5.92,3.253,14.45,0.69,100.0,40.0,60.0,1.182033097,1.182033097,2.638522427,2.141327623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bungad,3,0,3,0,0,9,0,15,,1,0.5066,7014,3435,3579,239,125,114,299,146,153,538,271,267,1281,649,632,4479,2219,2260,716,296,420,80,31,49,538,1819,13845.2,1680.0,369,3316.2,239.5,728.4,52.6,5.26,96.0,32.22,228.4,5392.0,3.66,1.12,16.36,3.53,3.58,12.05,0.34,117.0,53.0,64.0,5.576208178,5.576208178,11.23595506,11.0701107,0.0,0.0,0.0,8.130081301,30.10033445,58.82352941,61.64383562,7.025761124,14.24050633,13.86748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camp Aguinaldo,1,0,0,0,0,7,0,8,,3,1.8035,3269,1629,1640,150,74,76,213,133,80,363,207,156,876,439,437,1947,952,995,83,31,52,3,1,2,363,1239,1812.6,216.0,206,119.8,66.1,114.2,63.0,6.3,99.3,30.44,294.6,1114.0,4.78,1.26,11.59,0.43,1.914,7.44,0.43,11.0,4.0,7.0,2.754820937,2.754820937,6.41025641,4.830917874,0.0,0.0,0.0,0.0,32.86384977,87.5,52.63157895,7.99086758,16.01830664,15.9453303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capri,2,1,0,0,0,0,0,3,,5,0.0955,12903,6438,6465,915,463,452,961,450,511,1876,913,963,3344,1705,1639,6969,3535,3434,714,285,429,57,12,45,1876,5220,135109.9,1405.0,360,14712.0,108.9,3769.6,27.9,2.79,99.6,26.61,482.7,11696.0,3.8,1.09,39.88,7.21,3.15,7.01,0.26,165.0,52.0,113.0,1.066098081,1.066098081,2.076843198,2.190580504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07750135627,0.154679041,0.1553277415,0.5330490405,1.038421599,1.095290252,1.400560224,2.331002331,3.50877193,2.777777778,0.0,0.0,0.0
Central,5,1,3,0,0,5,0,14,,4,1.3386,19331,9728,9603,1242,619,623,1035,505,530,2277,1124,1153,3377,1755,1622,12566,6407,6159,1111,442,669,87,19,68,2277,5654,14441.2,2164.0,725,1616.6,111.9,541.6,37.5,3.75,101.3,31.86,342.3,12157.0,3.34,1.12,31.44,18.87,4.177,28.02,1.13,307.0,121.0,186.0,2.195871761,2.195871761,4.336513443,4.448398577,0.0,0.0,0.0,4.137931034,4.830917874,9.433962264,9.900990099,1.480604086,3.082614057,2.849002849,0.0,0.0,0.0,0.05173038125,0.1041341248,0.1027960526,0.4391743522,0.8673026886,0.8896797153,0.900090009,1.494768311,2.262443439,1.379310345,17.0,0.0,17.0
Claro (Quirino 3-B),1,0,0,0,0,0,0,1,,3,0.1013,3885,1851,2034,155,70,85,167,81,86,322,151,171,602,321,281,2466,1185,1281,495,194,301,68,20,48,322,924,38351.4,986.0,518,9733.5,253.8,5113.5,133.3,13.33,91.0,32.97,243.8,2366.0,3.07,1.22,3.11,1.04,3.641,8.91,0.0,30.0,16.0,14.0,3.105590062,3.105590062,5.847953216,6.622516556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commonwealth,20,4,2,0,0,64,0,90,,2,3.4855,213142,107459,105683,14541,7569,6972,14097,7262,6835,28638,14831,13807,50113,25906,24207,121299,61107,60192,13092,5615,7477,841,229,612,28638,78751,61151.1,19348.0,4692,5551.0,90.8,1346.1,22.0,2.2,101.7,28.24,424.2,175664.0,3.76,1.07,22.66,3.89,3.338,4.89,0.23,1892.0,769.0,1123.0,0.6983727914,0.6983727914,1.448540595,1.348526735,0.0,0.0,0.0,0.4262574595,4.539973044,9.363569861,8.812999174,1.277113723,2.643863345,2.470470161,0.0,0.0,0.0,0.0187668315,0.03784903911,0.0372234992,0.1396745583,0.2897081191,0.2697053469,0.3055300947,0.53497392,0.7123775601,0.852514919,91.0,1.0,92.0
Culiat,3,1,0,0,0,13,0,17,,6,2.5135,67747,33833,33914,3979,2095,1884,3948,2052,1896,7927,4147,3780,13846,7210,6636,40723,20229,20494,5251,2247,3004,444,129,315,7927,21773,26953.3,9110.0,2557,3624.4,134.5,1017.3,37.7,3.77,99.8,30.25,354.1,51857.0,3.16,1.04,23.88,5.04,3.33,7.98,0.26,907.0,375.0,532.0,0.3784533872,0.3784533872,0.7936507937,0.7234145165,0.0,0.0,0.0,0.0,3.292806484,6.856540084,6.335282651,0.9388993211,1.959011453,1.803051318,0.0,0.0,0.0,0.01476080122,0.02948634782,0.02955694145,0.1261511291,0.2645502646,0.2411381722,0.1904399162,0.3328894807,0.4450378282,0.3910833007,14.0,1.0,15.0
Damar,0,0,0,0,0,0,0,0,,1,0.2089,952,415,537,23,15,8,22,10,12,45,25,20,131,64,67,629,265,364,147,61,86,28,9,19,45,176,4557.2,446.0,83,2135.0,468.5,397.3,87.2,8.72,77.3,38.24,122.0,9609.0,,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,52.0
Damayan,1,3,0,0,0,5,0,9,,1,0.2079,6007,2979,3028,245,130,115,301,159,142,546,289,257,1329,696,633,3632,1787,1845,500,207,293,44,12,32,546,1875,28893.7,1470.0,320,7070.7,244.7,1539.2,53.3,5.33,98.4,30.71,260.7,4850.0,3.28,1.03,12.05,1.29,3.057,12.21,12.32,161.0,71.0,90.0,1.831501832,1.831501832,3.891050584,3.460207612,0.0,0.0,0.0,0.0,16.61129568,35.21126761,31.44654088,3.762227239,7.898894155,7.183908046,0.0,0.0,0.0,0.4994173464,0.9907529723,1.007049345,5.494505495,11.67315175,10.38062284,6.0,10.23890785,14.49275362,9.375,0.0,0.0,0.0
Damayang Lagi,1,0,0,0,0,0,0,1,,4,0.8085,19364,9697,9667,1275,606,669,1144,597,547,2419,1203,1216,4083,2084,1999,11601,5880,5721,1261,530,731,117,38,79,2419,6502,23950.5,2075.0,550,2566.5,107.2,680.3,28.4,2.84,100.3,29.54,396.3,9609.0,3.34,1.06,36.76,11.56,3.722,11.38,0.28,78.0,28.0,50.0,0.4133939644,0.4133939644,0.8223684211,0.8312551953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Monte,2,0,2,0,0,1,0,5,,1,0.5379,10236,5093,5143,560,301,259,457,240,217,1017,541,476,2010,1048,962,6259,3100,3159,950,404,546,95,36,59,1017,3027,19029.6,1779.0,401,3307.3,173.8,745.5,39.2,3.92,99.0,30.86,298.7,6141.0,3.41,1.08,19.33,4.11,3.414,14.43,0.17,183.0,100.0,83.0,1.966568338,1.966568338,4.201680672,3.696857671,0.0,0.0,0.0,4.987531172,2.188183807,4.608294931,4.166666667,0.4975124378,1.03950104,0.9541984733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dioquino Zobel,1,0,0,0,0,0,0,1,,3,0.0427,1789,875,914,84,44,40,98,45,53,182,89,93,393,206,187,1069,527,542,145,53,92,14,4,10,182,575,41897.0,341.0,95,7985.9,190.6,2224.8,53.1,5.31,95.7,30.3,310.4,774.0,3.76,1.19,21.36,1.46,2.726,3.08,0.0,38.0,18.0,20.0,5.494505495,5.494505495,10.75268817,11.23595506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Manuel,2,0,0,0,0,10,0,12,,4,0.2379,1728,831,897,77,43,34,98,37,61,175,80,95,345,184,161,1045,507,538,163,60,103,11,4,7,175,520,7263.6,653.0,201,2744.9,377.9,844.9,116.3,11.63,92.6,31.13,286.8,555.0,3.21,1.15,10.4,5.2,3.847,3.66,0.0,21.0,16.0,5.0,11.42857143,11.42857143,21.05263158,25.0,0.0,0.0,0.0,0.0,102.0408163,163.9344262,270.2702703,28.98550725,62.11180124,54.34782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurora,1,0,0,0,0,5,0,6,,4,0.1348,4221,2054,2167,140,73,67,184,89,95,324,162,162,788,407,381,2646,1301,1345,463,184,279,52,16,36,324,1112,31313.1,966.0,227,7166.2,228.9,1684.0,53.8,5.38,94.8,31.86,214.6,1392.0,3.48,1.31,5.75,2.25,3.995,10.28,0.5,11.0,5.0,6.0,3.086419753,3.086419753,6.172839506,6.172839506,0.0,0.0,0.0,0.0,27.17391304,52.63157895,56.17977528,6.345177665,13.12335958,12.28501229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Doña Imelda,2,1,1,0,0,8,0,12,,4,0.9161,11701,5858,5843,708,395,313,681,349,332,1389,744,645,2394,1232,1162,7096,3527,3569,822,355,467,73,19,54,1389,3783,12772.6,2015.0,572,2199.5,172.2,624.4,48.9,4.89,100.3,30.5,354.5,8001.0,3.48,1.06,21.51,3.09,3.708,14.1,2.27,100.0,48.0,52.0,1.439884809,1.439884809,3.100775194,2.688172043,0.0,0.0,0.0,1.748251748,11.74743025,24.09638554,22.9226361,3.341687552,6.884681583,6.493506494,0.0,0.0,0.0,0.08546278096,0.1711449598,0.1707067258,0.7199424046,1.550387597,1.344086022,1.216545012,2.141327623,2.816901408,1.748251748,0.0,0.0,0.0
Doña Josefa,1,0,2,0,0,7,0,10,,4,0.2826,1857,885,972,84,46,38,101,56,45,185,102,83,337,151,186,1145,553,592,190,79,111,17,4,13,185,522,6571.1,644.0,140,2278.8,346.8,495.4,75.4,7.54,91.0,31.88,260.3,262.0,2.82,1.25,8.6,0.0,1.938,6.45,1.08,16.0,11.0,5.0,5.405405405,5.405405405,12.04819277,9.803921569,0.0,0.0,0.0,14.28571429,69.30693069,155.5555556,125.0,20.77151335,37.6344086,46.35761589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duyan-duyan,1,0,0,0,0,15,0,16,,3,0.1654,3357,1604,1753,150,74,76,121,66,55,271,140,131,549,284,265,2160,1022,1138,377,158,219,41,9,32,271,820,20296.3,728.0,204,4401.5,216.9,1233.4,60.8,6.08,91.5,33.9,222.2,1114.0,3.04,1.17,23.22,1.91,2.757,13.3,0.0,24.0,10.0,14.0,3.6900369,3.6900369,7.633587786,7.142857143,0.0,0.0,0.0,0.0,123.9669421,272.7272727,227.2727273,27.32240437,56.60377358,52.81690141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0
E. Rodriguez,3,1,5,0,0,14,0,23,,3,0.6531,17285,8564,8721,779,398,381,935,469,466,1714,867,847,3251,1711,1540,10914,5401,5513,1406,585,821,134,34,100,1714,4965,26466.1,2907.0,889,4451.1,168.2,1361.2,51.4,5.14,98.2,31.89,280.2,12044.0,3.06,1.06,27.49,11.07,3.813,16.67,0.18,109.0,55.0,54.0,1.750291715,1.750291715,3.541912633,3.460207612,0.0,0.0,0.0,5.624296963,14.97326203,30.04291845,29.85074627,4.306367272,9.090909091,8.182349503,0.0,0.0,0.0,0.05785363032,0.1146657493,0.1167678655,0.5834305718,1.180637544,1.153402537,0.7112375533,1.218026797,1.709401709,1.124859393,2.0,0.0,2.0
