Category,Indicator,Description,Data Source
Accesibility,Health centers per 1000 males,"Ratio of health centers to the male population, expressed per 1,000 male residents.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 females,"Ratio of health centers to the female population, expressed per 1,000 female residents.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 children 0-5,"Ratio of health centers to children aged 0–5, expressed per 1,000 children.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 male children 0-5,"Ratio of health centers to male children aged 0–5, expressed per 1,000 male children.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 female children 0-5,"Ratio of health centers to female children aged 0–5, expressed per 1,000 female children.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 older persons (60+),"Ratio of health centers to persons aged 60 and above, expressed per 1,000 older persons.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 male older persons (60+),"Ratio of health centers to male persons aged 60 and above, expressed per 1,000 male older persons.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 female older persons (60+),"Ratio of health centers to female persons aged 60 and above, expressed per 1, 000 female older persons.",PSA 2020 CPH; Administrative supply data
Accesibility,Health centers per 1000 PWDs,"Ratio of health centers to registered PWDs, expressed per 1,000 registered PWDs.",PSA 2020 CPH; Administrative supply data
Planning and Investment Prioritization,Accessibility Index,"Facilities per 10,000 population rescaled from 0 to 100, where 0 represents the least-served area in the dataset and 100 represents the best-served area",Higher is better
Planning and Investment Prioritization,Care Demand per facility,Ratio of children aged 0–5 and older persons aged 60+ to care-related facilities,Lower is better
Planning and Investment Prioritization,Care Desert,Barangay with zero registered care-related facilities of any kind,"Flag, not a score/direction"
