barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,Bus stops,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,ratio_pwd,ratio_pwd_all,ratio_bus_stops,ratio_bus_stops_f,ratio_bus_stops_m
Bahay Toro,14.0,5.0,9.0,1.0,0.0,11.0,0.0,40.0,4.0,2.218700475435816,4.47427293064877,4.401131719585036,3.5065349059611095,7.10594315245478,6.922592825676526,0.9520512376666089,1.9784172661870503,1.8351685018351687,0.17921146953405018,0.30413625304136255,0.4363001745200698,1.574803149606299,2.257336343115124,5.208333333333333,0.08392641332080032,0.16484241065541344,0.17097524278484474,0.7923930269413629,1.5979546180888464,1.5718327569946557,0.8960573476702509,1.5206812652068127,2.181500872600349,2.3137436372049978,4.164738546968995,18.509949097639982,0.06714113065664025,0.13187392852433075,0.1367801942278758
Balingasa,3.0,1.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,1.4627011214041932,2.876318312559923,2.976190476190476,2.941176470588235,5.825242718446602,5.9405940594059405,0.7505629221916438,1.5560165975103732,1.4499758337361044,0.0,0.0,0.0,0.0,0.0,0.0,0.05196424859696529,0.10372368011617052,0.10413412475268145,0.4875670404680643,0.9587727708533077,0.992063492063492,0.6430868167202572,1.1299435028248588,1.492537313432836,1.7331022530329288,1.7331022530329288,13.86481802426343,0.0,0.0,0.0
Balong-bato,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.2345679012345678,2.457002457002457,2.4813895781637716,4.68384074941452,9.216589861751151,9.523809523809526,1.3245033112582782,2.6041666666666665,2.6954177897574128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,0.0,0.0,0.0
Batasan Hills,16.0,8.0,4.0,1.0,1.0,25.0,0.0,55.0,3.0,0.7787403874233427,1.600480144043213,1.516731443738743,2.4645110410094637,5.058680696074464,4.805843906189927,0.6741088281292131,1.38811771238201,1.3105472845460264,0.08552125203112974,0.14914243102162564,0.20048115477145148,1.194743130227001,1.6103059581320451,4.62962962962963,0.04805468623293308,0.09572584119082946,0.09649598938544117,0.38937019371167136,0.8002400720216065,0.7583657218693715,0.684170016249038,1.193139448173005,1.6038492381716118,1.6909744240118367,0.8454872120059184,11.62544916508138,0.018020507337349903,0.03589719044656105,0.03618599601954044
Bayanihan,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,32.25806451612903,90.9090909090909,50.0,111.1111111111111,500.0,142.85714285714286,17.699115044247787,39.21568627450981,32.25806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.724137931034484,1.6313213703099512,3.289473684210526,3.236245954692557
Blue Ridge A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.925373134328359,27.777777777777775,32.25806451612903,4.310344827586206,8.0,9.345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.513513513513514,0.0,0.0,0.0
Blue Ridge B,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,60.60606060606061,125.0,117.6470588235294,15.748031496062993,46.51162790697674,23.809523809523807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.898305084745765,0.0,0.0,0.0
Botocan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1820330969267139,2.638522427440633,2.1413276231263385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037037,0.0,0.0,0.0
Bungad,4.0,1.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,7.434944237918216,14.9812734082397,14.760147601476014,20.066889632107024,39.21568627450981,41.0958904109589,4.68384074941452,9.49367088607595,9.244992295839754,0.0,0.0,0.0,0.0,0.0,0.0,0.142571998859424,0.2794076557697681,0.2911208151382824,1.858736059479554,3.745318352059925,3.6900369003690034,1.3966480446927374,2.3809523809523814,3.3783783783783785,2.710027100271003,8.130081300813009,37.94037940379403,0.0,0.0,0.0
Camp Aguinaldo,1.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.7548209366391188,6.41025641025641,4.830917874396135,14.084507042253522,37.5,22.55639097744361,3.4246575342465753,6.864988558352402,6.83371298405467,0.0,0.0,0.0,0.0,0.0,0.0,0.611807892321811,1.2195121951219512,1.2277470841006752,5.5096418732782375,12.82051282051282,9.66183574879227,24.096385542168676,38.46153846153847,64.51612903225806,9.70873786407767,0.0,29.12621359223301,0.0,0.0,0.0
Capri,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0660980810234542,2.0768431983385254,2.190580503833516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07750135627373479,0.15467904098994587,0.15532774153463808,0.5330490405117271,1.0384215991692627,1.095290251916758,1.4005602240896358,2.331002331002331,3.5087719298245617,2.7777777777777777,0.0,8.333333333333334,0.0,0.0,0.0
Central,5.0,4.0,3.0,0.0,0.0,1.0,0.0,13.0,4.0,2.1958717610891525,4.336513443191674,4.448398576512456,0.966183574879227,1.8867924528301887,1.9801980198019802,0.2961208172934557,0.6165228113440198,0.5698005698005698,0.0,0.0,0.0,0.0,0.0,0.0,0.20692152501163932,0.4165364990107258,0.41118421052631576,1.756697408871322,3.469210754553339,3.558718861209964,3.6003600360036003,5.9790732436472345,9.04977375565611,5.517241379310344,4.137931034482759,17.93103448275862,0.20692152501163932,0.4165364990107258,0.41118421052631576
Claro (Quirino 3-B),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.105590062111801,5.847953216374268,6.622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9305019305019306,0.0,0.0,0.0
Commonwealth,23.0,12.0,0.0,0.0,0.0,24.0,0.0,59.0,1.0,0.8031287101054543,1.6658216846527123,1.550805744723889,1.7024898914662694,3.5113386978785663,3.3048746901679977,0.47891764611976934,0.9914487544925021,0.9264263105072184,0.0,0.0,0.0,0.0,0.0,0.0,0.05630049450601008,0.11354711732255898,0.1116704975851255,0.4190236748376283,0.8691243572101108,0.8091160407255074,0.9165902841429882,1.604921760064197,2.13713268032057,2.557544757033248,0.0,12.57459505541347,0.00469170787550084,0.009462259776879913,0.009305874798760458
Culiat,4.0,3.0,0.0,0.0,0.0,8.0,0.0,15.0,1.0,0.5046045162104201,1.0582010582010584,0.9645526886906197,2.026342451874367,4.219409282700422,3.898635477582846,0.5777841976021956,1.2055455093429777,1.1095700416088765,0.0,0.0,0.0,0.0,0.0,0.0,0.04428240364887006,0.0884590434628767,0.08867082434309698,0.37845338715781507,0.7936507936507936,0.7234145165179648,0.5713197486193106,0.9986684420772304,1.335113484646195,1.1732499022291747,0.0,5.866249511145875,0.014760801216290021,0.029486347820958894,0.029556941447698992
Damar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damayan,2.0,4.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,3.663003663003663,7.782101167315175,6.920415224913495,9.966777408637872,21.12676056338028,18.867924528301884,2.257336343115124,4.739336492890995,4.310344827586206,0.0,0.0,0.0,0.0,0.0,0.0,0.665889795238888,1.321003963011889,1.342732460557234,7.326007326007326,15.56420233463035,13.84083044982699,8.0,13.651877133105803,19.32367149758454,12.5,0.0,28.125,0.0,0.0,0.0
Damayang Lagi,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.41339396444811904,0.8223684210526315,0.8312551953449709,2.6223776223776225,5.484460694698354,5.025125628140704,0.7347538574577516,1.5007503751875937,1.4395393474088292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2727272727272725,0.0,0.0,0.0
Del Monte,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.9665683382497543,4.201680672268908,3.6968576709796674,2.1881838074398248,4.608294930875576,4.166666666666667,0.49751243781094523,1.0395010395010396,0.9541984732824427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481296758104738,0.0,0.0,0.0
Dioquino Zobel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4945054945054945,10.752688172043012,11.235955056179774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,0.0,0.0,0.0
Don Manuel,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,5.714285714285714,10.526315789473683,12.5,40.816326530612244,65.57377049180329,108.10810810810811,11.594202898550725,24.844720496894407,21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.875621890547265,0.0,0.0,0.0
Doña Aurora,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0864197530864197,6.172839506172839,6.172839506172839,16.304347826086957,31.578947368421055,33.70786516853933,3.8071065989847717,7.874015748031496,7.371007371007371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.62114537444934,0.0,0.0,0.0
Doña Imelda,2.0,2.0,1.0,0.0,0.0,6.0,0.0,11.0,1.0,1.4398848092152627,3.10077519379845,2.688172043010753,8.81057268722467,18.072289156626507,17.191977077363898,2.506265664160401,5.163511187607574,4.87012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.17092556191778482,0.3422899195618689,0.3414134516899966,1.4398848092152627,3.10077519379845,2.688172043010753,2.4330900243309004,4.282655246252677,5.633802816901409,3.4965034965034967,1.7482517482517483,19.230769230769234,0.08546278095889241,0.17114495978093444,0.1707067258449983
Doña Josefa,1.0,0.0,2.0,0.0,0.0,5.0,0.0,8.0,1.0,5.405405405405405,12.048192771084338,9.803921568627452,49.504950495049506,111.1111111111111,89.28571428571429,14.836795252225519,26.881720430107528,33.11258278145696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,57.14285714285714,0.5385029617662898,1.02880658436214,1.1299435028248588
Duyan-duyan,1.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,3.6900369003690034,7.633587786259541,7.142857142857142,49.586776859504134,109.09090909090908,90.9090909090909,10.92896174863388,22.641509433962263,21.12676056338028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.313725490196084,0.0,0.0,0.0
E. Rodriguez,4.0,1.0,3.0,0.0,0.0,8.0,0.0,16.0,1.0,2.333722287047841,4.7225501770956315,4.61361014994233,8.556149732620321,17.167381974248926,17.057569296375267,2.460781298062135,5.194805194805195,4.675628287551139,0.0,0.0,0.0,0.0,0.0,0.0,0.05785363031530229,0.11466574934067193,0.11676786548341896,0.5834305717619602,1.1806375442739079,1.1534025374855825,0.7112375533428166,1.2180267965895248,1.7094017094017093,1.124859392575928,3.374578177727784,17.99775028121485,0.05785363031530229,0.11466574934067193,0.11676786548341896
East Kamias,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.834862385321101,3.8461538461538463,3.5087719298245617,3.7593984962406015,7.633587786259541,7.407407407407407,0.9115770282588879,1.8867924528301887,1.763668430335097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878048780487805,0.3130380341211457,0.6071645415907712,0.6462035541195477
Escopa 1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478672985781991,1.9083969465648853,1.8832391713747645,8.438818565400844,17.543859649122805,16.260162601626018,8.88888888888889,14.084507042253522,24.096385542168676,15.267175572519083,0.0,15.267175572519083,0.0,0.0,0.0
Escopa 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.25531914893617,8.403361344537815,8.620689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.638297872340425,0.0,0.0,0.0
Escopa 3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8665511265164644,1.8484288354898337,1.6313213703099512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150537634408602,0.0,0.0,0.0
Escopa 4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.097165991902834,15.384615384615385,17.094017094017097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.408163265306122,0.0,0.0,0.0
Fairview,13.0,4.0,8.0,4.0,0.0,33.0,0.0,62.0,0.0,1.8802429852473244,3.8621509209744502,3.6640360766629083,9.906934854398079,20.27027027027027,19.377568995889607,2.57530825659435,5.264837268666241,5.0412465627864345,0.8151620134501731,1.3986013986013985,1.9540791402051783,6.968641114982578,10.15228426395939,22.22222222222222,0.0650427656183941,0.12775879140183333,0.13249859220245785,0.5785363031530228,1.1883541295306002,1.1273957158962795,0.8151620134501731,1.3986013986013985,1.9540791402051783,2.017145738779627,4.034291477559254,31.265758951084216,0.0,0.0,0.0
Greater Lagro,5.0,4.0,6.0,0.0,0.0,18.0,0.0,33.0,0.0,2.5303643724696356,5.091649694501019,5.030181086519114,17.716535433070867,35.01945525291829,35.85657370517929,4.457652303120357,9.240246406570842,8.61244019138756,0.0,0.0,0.0,0.0,0.0,0.0,0.17053206002728513,0.32832635639825986,0.3548301250776191,2.0242914979757085,4.0733197556008145,4.024144869215292,1.1277135607555682,1.9065776930409915,2.7605244996549345,3.4662045060658575,5.199306759098787,28.59618717504333,0.0,0.0,0.0
Gulod,7.0,5.0,2.0,1.0,0.0,7.0,0.0,22.0,1.0,0.8530343650987082,1.7391304347826089,1.6742406122937097,1.7994858611825193,3.586065573770492,3.611971104231166,0.4764173415912339,0.9994288977727014,0.9103914683313824,0.2349624060150376,0.40338846308995563,0.5627462014631401,2.770083102493075,3.6900369003690034,11.11111111111111,0.07999360051195904,0.16191709844559585,0.15810276679841898,0.6093102607847916,1.2422360248447206,1.1958861516383639,1.1748120300751879,2.016942315449778,2.8137310073157002,2.3775558725630055,0.9510223490252021,10.461245839277224,0.015998720102391808,0.03238341968911917,0.03162055335968379
Holy Spirit,13.0,8.0,4.0,2.0,0.0,33.0,0.0,60.0,0.0,0.9267179925862561,1.9426180514046623,1.772082878953108,4.745470232959447,9.930785434848028,9.088405397961994,1.3165769000598444,2.7113630761646537,2.559329920893439,0.24897298643097227,0.42909246942716156,0.5931198102016608,2.8129395218002813,4.008016032064128,9.433962264150942,0.07157683773530885,0.14270169993400048,0.1436085231658499,0.570287995437696,1.195457262402869,1.0905125408942202,0.9958919457238891,1.7163698777086462,2.3724792408066433,2.3453532688361185,1.1726766344180592,17.59014951627089,0.0,0.0,0.0
Horseshoe,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.5460992907801416,7.518796992481203,6.7114093959731544,8.547008547008549,18.867924528301884,15.625,2.044989775051125,4.184100418410042,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.738853503184714,0.0,0.0,0.0
Immaculate Concepcion,3.0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,4.225352112676056,8.928571428571429,8.02139037433155,5.128205128205129,10.92896174863388,9.66183574879227,1.447178002894356,3.076923076923077,2.73224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125890736342043,19.002375296912113,0.0,0.0,0.0
Kaligayahan,9.0,4.0,4.0,0.0,0.0,11.0,0.0,28.0,0.0,1.352569882777277,2.823086574654956,2.59665320253895,3.261191817373258,6.811145510835914,6.257110352673493,0.877682917098859,1.8112958998847357,1.7027863777089784,0.0,0.0,0.0,0.0,0.0,0.0,0.06620214825971103,0.13065490772497143,0.13420116755015768,0.6011421701232341,1.2547051442910915,1.154068090017311,0.7713073659853451,1.3175230566534915,1.86046511627907,1.876172607879925,1.876172607879925,13.133208255159476,0.0,0.0,0.0
Kalusugan,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.9940119760479043,6.369426751592357,5.649717514124294,0.8695652173913044,1.7482517482517483,1.7301038062283738,3.1746031746031744,6.25,6.451612903225806,62.5,71.42857142857143,500.0,0.21181952976064394,0.41271151465125877,0.4351610095735422,1.4992503748125936,2.881844380403458,3.125,3.1746031746031744,6.25,6.451612903225806,4.132231404958678,0.0,12.396694214876034,0.21181952976064394,0.41271151465125877,0.4351610095735422
Kamuning,1.0,4.0,3.0,0.0,0.0,6.0,0.0,14.0,2.0,0.9017132551848511,1.858736059479554,1.7513134851138354,10.92896174863388,22.058823529411764,21.660649819494584,2.8169014084507045,5.752636625119846,5.519779208831647,0.0,0.0,0.0,0.0,0.0,0.0,0.3295164346321773,0.6325110689437066,0.6878761822871883,3.6068530207394045,7.434944237918216,7.005253940455342,3.0234315948601664,4.962779156327543,7.7369439071566735,5.633802816901409,4.225352112676056,19.71830985915493,0.16475821731608864,0.3162555344718533,0.34393809114359414
Katipunan,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.1321961620469083,4.291845493562231,4.237288135593221,2.1929824561403506,4.184100418410042,4.608294930875576,0.6042296072507553,1.2690355329949237,1.1534025374855825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.238907849829351,0.0,0.0,0.0
Kaunlaran,2.0,1.0,2.0,1.0,0.0,4.0,0.0,10.0,1.0,1.9342359767891684,3.968253968253968,3.7735849056603774,7.722007722007723,17.241379310344826,13.986013986013987,2.0779220779220777,4.201680672268908,4.110996916752312,0.8032128514056225,1.366120218579235,1.949317738791423,7.462686567164179,9.523809523809526,34.48275862068965,0.08263779852904718,0.16020506247997437,0.17067759003242874,0.9671179883945842,1.984126984126984,1.8867924528301887,0.8032128514056225,1.366120218579235,1.949317738791423,1.3368983957219251,2.6737967914438503,13.368983957219251,0.08263779852904718,0.16020506247997437,0.17067759003242874
Kristong Hari,5.0,0.0,5.0,1.0,0.0,2.0,0.0,13.0,2.0,10.845986984815617,20.74688796680498,22.727272727272727,8.23045267489712,13.986013986013987,20.0,2.136752136752137,4.434589800443459,4.123711340206186,1.9083969465648853,2.857142857142857,5.747126436781609,22.22222222222222,28.57142857142857,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.36448598130841,60.74766355140187,0.3345040976751965,0.6297229219143576,0.7135212272565109
Krus na Ligas,4.0,2.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,1.7913121361397224,3.5746201966041107,3.5906642728904847,2.7548209366391188,5.7251908396946565,5.3097345132743365,0.6691947356680794,1.374255611543747,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.09395405646638794,0.18608113137327875,0.18977132555270898,0.8956560680698612,1.7873100983020553,1.7953321364452424,1.1933174224343677,1.990049751243781,2.9806259314456036,2.229654403567447,0.0,10.033444816053512,0.0,0.0,0.0
Laging Handa,1.0,0.0,4.0,0.0,0.0,2.0,0.0,7.0,4.0,4.166666666666667,7.936507936507936,8.771929824561402,17.543859649122805,31.25,40.0,3.4602076124567476,6.7114093959731544,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.781671159029651,18.867924528301884,0.8326394671107411,1.486988847583643,1.8921475875118259
Libis,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.976143141153081,8.771929824561402,7.2727272727272725,4.366812227074235,10.752688172043012,7.352941176470588,1.2626262626262628,2.5706940874035986,2.4813895781637716,0.0,0.0,0.0,0.0,0.0,0.0,0.2376425855513308,0.47938638542665385,0.471253534401508,1.9880715705765406,4.385964912280701,3.6363636363636362,2.9154518950437316,4.424778761061947,8.547008547008549,5.847953216374268,0.0,23.391812865497073,0.0,0.0,0.0
