barangay,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,age_0_4,women_15_49,child_woman_ratio,pop_cbms_secondary,cbms_responding_hh,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,domestic_workers_female,domestic_workers_male,domestic_workers_total
Bayanihan,,3,0.0635,613,309,304,13,6,7,18,14,4,31,20,11,113,62,51,402,203,199,67,24,43,8,2,6,31,144,9653.5,172.0,58,2708.7,280.6,913.4,94.6,9.46,101.6,32.46,21,182,115.4,234.0,79.0,2.96,1.0,32.91,5.06,3.068,4.22,0.0,43.0,21.0,22.0,0,0,0
Blue Ridge A,,3,0.2612,1534,720,814,65,49,16,67,31,36,132,80,52,232,107,125,982,458,524,188,75,113,37,12,25,132,364,5872.9,336.0,74,1286.4,219.0,283.3,48.2,4.82,88.5,34.16,113,447,252.8,584.0,170.0,3.44,1.24,46.47,0.59,1.356,6.86,0.59,,,,5,0,5
Blue Ridge B,,3,0.1426,1071,470,601,29,15,14,33,17,16,62,32,30,127,84,43,672,269,403,210,85,125,47,10,37,62,189,7510.5,298.0,59,2089.8,278.2,413.7,55.1,5.51,78.2,37.63,49,324,151.2,299.0,101.0,2.96,1.1,10.89,3.96,3.596,2.31,0.0,2.0,1.0,1.0,101,20,121
Botocan,,4,0.0378,6643,3337,3306,450,260,190,396,207,189,846,467,379,1646,846,800,3727,1856,1871,424,168,256,36,8,28,846,2492,175740.7,1041.0,270,27539.7,156.7,7142.9,40.6,4.06,100.9,28.16,746,1777,419.8,6515.0,1604.0,4.06,1.27,53.55,5.92,3.253,14.45,0.69,100.0,40.0,60.0,0,0,0
Bungad,,1,0.5066,7014,3435,3579,239,125,114,299,146,153,538,271,267,1281,649,632,4479,2219,2260,716,296,420,80,31,49,538,1819,13845.2,1680.0,369,3316.2,239.5,728.4,52.6,5.26,96.0,32.22,458,2005,228.4,5392.0,1473.0,3.66,1.12,16.36,3.53,3.58,12.05,0.34,117.0,53.0,64.0,0,0,0
Camp Aguinaldo,,3,1.8035,3269,1629,1640,150,74,76,213,133,80,363,207,156,876,439,437,1947,952,995,83,31,52,3,1,2,363,1239,1812.6,216.0,206,119.8,66.1,114.2,63.0,6.3,99.3,30.44,294,998,294.6,1114.0,233.0,4.78,1.26,11.59,0.43,1.914,7.44,0.43,11.0,4.0,7.0,0,0,0
Capri,,5,0.0955,12903,6438,6465,915,463,452,961,450,511,1876,913,963,3344,1705,1639,6969,3535,3434,714,285,429,57,12,45,1876,5220,135109.9,1405.0,360,14712.0,108.9,3769.6,27.9,2.79,99.6,26.61,1563,3238,482.7,11696.0,3077.0,3.8,1.09,39.88,7.21,3.15,7.01,0.26,165.0,52.0,113.0,0,0,0
Central,,4,1.3386,19331,9728,9603,1242,619,623,1035,505,530,2277,1124,1153,3377,1755,1622,12566,6407,6159,1111,442,669,87,19,68,2277,5654,14441.2,2164.0,725,1616.6,111.9,541.6,37.5,3.75,101.3,31.86,1939,5664,342.3,12157.0,3635.0,3.34,1.12,31.44,18.87,4.177,28.02,1.13,307.0,121.0,186.0,17,0,17
Claro (Quirino 3-B),,3,0.1013,3885,1851,2034,155,70,85,167,81,86,322,151,171,602,321,281,2466,1185,1281,495,194,301,68,20,48,322,924,38351.4,986.0,518,9733.5,253.8,5113.5,133.3,13.33,91.0,32.97,266,1091,243.8,2366.0,771.0,3.07,1.22,3.11,1.04,3.641,8.91,0.0,30.0,16.0,14.0,0,0,0
Commonwealth,,2,3.4855,213142,107459,105683,14541,7569,6972,14097,7262,6835,28638,14831,13807,50113,25906,24207,121299,61107,60192,13092,5615,7477,841,229,612,28638,78751,61151.1,19348.0,4692,5551.0,90.8,1346.1,22.0,2.2,101.7,28.24,24200,57054,424.2,175664.0,46738.0,3.76,1.07,22.66,3.89,3.338,4.89,0.23,1892.0,769.0,1123.0,91,1,92
Culiat,,6,2.5135,67747,33833,33914,3979,2095,1884,3948,2052,1896,7927,4147,3780,13846,7210,6636,40723,20229,20494,5251,2247,3004,444,129,315,7927,21773,26953.3,9110.0,2557,3624.4,134.5,1017.3,37.7,3.77,99.8,30.25,6679,18860,354.1,51857.0,16393.0,3.16,1.04,23.88,5.04,3.33,7.98,0.26,907.0,375.0,532.0,14,1,15
Damar,,1,0.2089,952,415,537,23,15,8,22,10,12,45,25,20,131,64,67,629,265,364,147,61,86,28,9,19,45,176,4557.2,446.0,83,2135.0,468.5,397.3,87.2,8.72,77.3,38.24,36,295,122.0,,,,,,,,,,2.0,1.0,1.0,50,2,52
Damayan,,1,0.2079,6007,2979,3028,245,130,115,301,159,142,546,289,257,1329,696,633,3632,1787,1845,500,207,293,44,12,32,546,1875,28893.7,1470.0,320,7070.7,244.7,1539.2,53.3,5.33,98.4,30.71,443,1699,260.7,4850.0,1477.0,3.28,1.03,12.05,1.29,3.057,12.21,12.32,161.0,71.0,90.0,0,0,0
Damayang Lagi,,4,0.8085,19364,9697,9667,1275,606,669,1144,597,547,2419,1203,1216,4083,2084,1999,11601,5880,5721,1261,530,731,117,38,79,2419,6502,23950.5,2075.0,550,2566.5,107.2,680.3,28.4,2.84,100.3,29.54,2109,5322,396.3,9609.0,2881.0,3.34,1.06,36.76,11.56,3.722,11.38,0.28,78.0,28.0,50.0,0,0,0
Del Monte,,1,0.5379,10236,5093,5143,560,301,259,457,240,217,1017,541,476,2010,1048,962,6259,3100,3159,950,404,546,95,36,59,1017,3027,19029.6,1779.0,401,3307.3,173.8,745.5,39.2,3.92,99.0,30.86,870,2913,298.7,6141.0,1800.0,3.41,1.08,19.33,4.11,3.414,14.43,0.17,183.0,100.0,83.0,0,0,0
Dioquino Zobel,,3,0.0427,1789,875,914,84,44,40,98,45,53,182,89,93,393,206,187,1069,527,542,145,53,92,14,4,10,182,575,41897.0,341.0,95,7985.9,190.6,2224.8,53.1,5.31,95.7,30.3,149,480,310.4,774.0,206.0,3.76,1.19,21.36,1.46,2.726,3.08,0.0,38.0,18.0,20.0,0,0,0
Don Manuel,,4,0.2379,1728,831,897,77,43,34,98,37,61,175,80,95,345,184,161,1045,507,538,163,60,103,11,4,7,175,520,7263.6,653.0,201,2744.9,377.9,844.9,116.3,11.63,92.6,31.13,148,516,286.8,555.0,173.0,3.21,1.15,10.4,5.2,3.847,3.66,0.0,21.0,16.0,5.0,0,0,0
Doña Aurora,,4,0.1348,4221,2054,2167,140,73,67,184,89,95,324,162,162,788,407,381,2646,1301,1345,463,184,279,52,16,36,324,1112,31313.1,966.0,227,7166.2,228.9,1684.0,53.8,5.38,94.8,31.86,258,1202,214.6,1392.0,400.0,3.48,1.31,5.75,2.25,3.995,10.28,0.5,11.0,5.0,6.0,0,0,0
Doña Imelda,,4,0.9161,11701,5858,5843,708,395,313,681,349,332,1389,744,645,2394,1232,1162,7096,3527,3569,822,355,467,73,19,54,1389,3783,12772.6,2015.0,572,2199.5,172.2,624.4,48.9,4.89,100.3,30.5,1165,3286,354.5,8001.0,2301.0,3.48,1.06,21.51,3.09,3.708,14.1,2.27,100.0,48.0,52.0,0,0,0
Doña Josefa,,4,0.2826,1857,885,972,84,46,38,101,56,45,185,102,83,337,151,186,1145,553,592,190,79,111,17,4,13,185,522,6571.1,644.0,140,2278.8,346.8,495.4,75.4,7.54,91.0,31.88,139,534,260.3,262.0,93.0,2.82,1.25,8.6,0.0,1.938,6.45,1.08,16.0,11.0,5.0,0,0,0
Duyan-duyan,,3,0.1654,3357,1604,1753,150,74,76,121,66,55,271,140,131,549,284,265,2160,1022,1138,377,158,219,41,9,32,271,820,20296.3,728.0,204,4401.5,216.9,1233.4,60.8,6.08,91.5,33.9,226,1017,222.2,1114.0,366.0,3.04,1.17,23.22,1.91,2.757,13.3,0.0,24.0,10.0,14.0,13,0,13
E. Rodriguez,,3,0.6531,17285,8564,8721,779,398,381,935,469,466,1714,867,847,3251,1711,1540,10914,5401,5513,1406,585,821,134,34,100,1714,4965,26466.1,2907.0,889,4451.1,168.2,1361.2,51.4,5.14,98.2,31.89,1411,5036,280.2,12044.0,3940.0,3.06,1.06,27.49,11.07,3.813,16.67,0.18,109.0,55.0,54.0,2,0,2
East Kamias,,3,0.2716,6389,3095,3294,279,150,129,266,135,131,545,285,260,1097,567,530,3999,1943,2056,748,300,448,78,24,54,545,1642,23523.6,1310.0,410,4823.3,205.0,1509.6,64.2,6.42,94.0,32.18,466,1781,261.7,2832.0,808.0,3.5,1.27,30.94,3.59,3.271,19.56,0.0,38.0,14.0,24.0,0,0,0
Escopa 1,,3,0.013,2110,1062,1048,117,64,53,120,59,61,237,123,114,462,237,225,1186,619,567,225,83,142,16,3,13,237,699,162307.7,388.0,131,29846.2,183.9,10076.9,62.1,6.21,101.3,26.87,206,521,395.4,1552.0,448.0,3.46,1.06,18.97,1.34,2.906,9.3,0.0,25.0,7.0,18.0,11,0,11
Escopa 2,,3,0.0211,1683,802,881,112,51,61,123,65,58,235,116,119,354,167,187,946,460,486,148,59,89,15,3,12,235,589,79763.0,280.0,94,13270.1,166.4,4455.0,55.9,5.59,91.0,28.88,198,432,458.3,1368.0,369.0,3.71,1.08,2.98,1.63,4.234,7.5,0.27,38.0,14.0,24.0,0,0,0
Escopa 3,,3,0.0897,7985,4080,3905,564,294,270,590,319,271,1154,613,541,1898,998,900,4349,2227,2122,584,242,342,41,9,32,1154,3052,89019.0,1174.0,465,13088.1,147.0,5183.9,58.2,5.82,104.5,26.57,970,1950,497.4,7475.0,2030.0,3.68,1.09,41.87,4.29,3.133,7.27,0.54,260.0,90.0,170.0,74,13,87
Escopa 4,,3,0.016,1837,903,934,121,59,62,126,58,68,247,117,130,419,227,192,996,495,501,175,64,111,16,2,14,247,666,114812.5,309.0,98,19312.5,168.2,6125.0,53.3,5.33,96.7,27.27,205,450,455.6,1439.0,394.0,3.65,1.04,24.62,1.27,2.536,3.55,0.0,69.0,29.0,40.0,0,0,0
Fairview,,5,3.1006,61498,30189,31309,3583,1845,1738,3331,1703,1628,6914,3548,3366,12814,6546,6268,36863,18048,18815,4907,2047,2860,574,180,394,6914,19728,19834.2,7771.0,1983,2506.3,126.4,639.6,32.2,3.22,96.4,30.59,5865,17172,341.5,42345.0,11335.0,3.74,1.11,21.19,5.72,3.654,7.49,1.05,880.0,394.0,486.0,219,2,221
Greater Lagro,,5,3.5151,23456,11273,12183,960,492,468,1016,502,514,1976,994,982,4038,2090,1948,13895,6740,7155,3547,1449,2098,562,190,372,1976,6014,6672.9,4777.0,1154,1359.0,203.7,328.3,49.2,4.92,92.5,30.5,1652,6351,260.1,14210.0,4178.0,3.4,1.01,4.69,1.94,3.995,3.53,0.26,179.0,99.0,80.0,85,3,88
Gulod,,5,1.2836,62505,31625,30880,4316,2243,2073,3890,1938,1952,8206,4181,4025,14693,7689,7004,35350,17978,17372,4256,1777,2479,361,90,271,8206,22899,48695.1,8118.0,2103,6324.4,129.9,1638.4,33.6,3.36,102.4,27.79,6894,16328,422.2,52739.0,14087.0,3.74,1.08,26.27,5.76,3.367,7.43,0.26,809.0,311.0,498.0,0,0,0
Holy Spirit,,2,3.3395,111768,55707,56061,7074,3705,3369,6954,3631,3323,14028,7336,6692,25065,12894,12171,64642,32105,32537,8033,3372,4661,711,212,499,14028,39093,33468.5,13765.0,3411,4121.9,123.2,1021.4,30.5,3.05,99.4,29.11,11829,30465,388.3,91713.0,24271.0,3.78,1.15,23.15,7.33,3.743,6.25,0.56,916.0,431.0,485.0,85,2,87
Horseshoe,,4,0.3755,2847,1393,1454,165,85,80,117,64,53,282,149,133,489,250,239,1774,858,916,302,136,166,37,16,21,282,771,7581.9,589.0,157,1568.6,206.9,418.1,55.1,5.51,95.8,32.17,237,806,294.0,925.0,249.0,3.71,1.11,29.72,10.04,3.726,44.84,0.4,10.0,8.0,2.0,0,0,0
Immaculate Concepcion,,4,0.5096,7975,3926,4049,320,167,153,390,207,183,710,374,336,1382,732,650,5162,2549,2613,721,271,450,86,26,60,710,2092,15649.5,1329.0,421,2607.9,166.6,826.1,52.8,5.28,97.0,32.76,560,2369,236.4,3107.0,1121.0,2.77,1.09,18.73,5.17,3.498,6.78,0.09,47.0,24.0,23.0,0,0,0
Kaligayahan,,5,2.5157,60421,29806,30615,3281,1708,1573,3373,1758,1615,6654,3466,3188,12533,6460,6073,36048,17730,18318,5186,2150,3036,388,110,278,6654,19187,24017.6,8181.0,2132,3252.0,135.4,847.5,35.3,3.53,97.4,30.32,5544,16728,331.4,45498.0,12633.0,3.6,1.14,21.57,4.35,3.544,2.85,0.28,572.0,305.0,267.0,82,2,84
Kalusugan,,4,0.4294,4721,2298,2423,333,143,190,334,177,157,667,320,347,1150,578,572,2589,1245,1344,315,155,160,16,2,14,667,1817,10994.4,613.0,242,1427.6,129.8,563.6,51.3,5.13,94.8,28.47,536,1276,420.1,495.0,187.0,2.65,1.0,3.21,3.21,4.5,5.38,0.0,23.0,10.0,13.0,0,0,0
Kamuning,,4,0.4845,12139,5815,6324,560,294,266,549,277,272,1109,571,538,2130,1087,1043,7577,3640,3937,1323,517,806,142,33,109,1109,3239,25054.7,2763.0,710,5702.8,227.6,1465.4,58.5,5.85,92.0,32.43,910,3496,260.3,5708.0,1837.0,3.11,1.09,26.4,10.29,3.785,8.69,0.05,96.0,50.0,46.0,2,0,2
Katipunan,,1,0.1301,10508,5090,5418,482,255,227,456,217,239,938,472,466,1655,867,788,7116,3458,3658,799,293,506,65,17,48,938,2593,80768.6,796.0,293,6118.4,75.8,2252.1,27.9,2.79,93.9,34.81,810,3227,251.0,3221.0,1040.0,3.1,1.04,17.98,3.75,3.205,3.53,0.0,82.0,41.0,41.0,1,0,1
Kaunlaran,,4,0.5512,12101,5859,6242,516,244,272,518,286,232,1034,530,504,1925,973,952,7897,3843,4054,1245,513,732,134,29,105,1034,2959,21953.9,2572.0,748,4666.2,212.5,1357.0,61.8,6.18,93.9,33.5,880,3566,246.8,2280.0,779.0,2.93,1.11,14.38,2.05,2.972,6.09,0.13,77.0,42.0,35.0,0,0,0
Kristong Hari,,4,0.3392,5979,2803,3176,218,120,98,243,100,143,461,220,241,936,485,451,4058,1924,2134,524,174,350,45,10,35,461,1397,17626.8,736.0,214,2169.8,123.1,630.9,35.8,3.58,88.3,35.69,383,1823,210.1,1874.0,550.0,3.41,1.13,54.36,2.36,2.702,13.78,0.55,33.0,14.0,19.0,0,0,0
Krus na Ligas,,4,0.3549,21287,10539,10748,1144,549,595,1089,565,524,2233,1114,1119,4483,2300,2183,12895,6454,6441,1676,671,1005,133,34,99,2233,6716,59980.3,2954.0,897,8323.5,138.8,2527.5,42.1,4.21,98.1,30.26,1853,5988,309.5,15253.0,3934.0,3.88,1.16,16.73,8.9,4.102,7.1,1.07,335.0,148.0,187.0,0,0,0
Laging Handa,,4,0.6222,4804,2114,2690,126,64,62,114,50,64,240,114,126,578,280,298,3246,1423,1823,740,297,443,93,29,64,240,818,7721.0,1370.0,371,2201.9,285.2,596.3,77.2,7.72,78.6,37.95,210,1546,135.8,1858.0,839.0,2.21,1.08,4.89,2.38,3.911,3.49,0.73,19.0,8.0,11.0,8,0,8
Libis,,3,0.1043,4208,2122,2086,274,139,135,229,136,93,503,275,228,792,403,389,2570,1327,1243,343,117,226,46,11,35,503,1295,40345.2,584.0,171,5599.2,138.8,1639.5,40.6,4.06,101.7,29.54,434,1074,404.1,3068.0,896.0,3.42,1.01,39.73,1.56,3.066,10.6,0.33,109.0,53.0,56.0,1,0,1
Lourdes,,1,0.7476,4410,2091,2319,100,46,54,143,81,62,243,127,116,563,286,277,2889,1382,1507,715,296,419,122,39,83,243,806,5898.9,915.0,218,1223.9,207.5,291.6,49.4,4.94,90.2,34.17,197,1272,154.9,18.0,6.0,3.0,1.67,16.67,0.0,3.4,11.11,0.0,5.0,2.0,3.0,0,0,0
Loyola Heights,,3,2.4018,20907,10025,10882,989,496,493,891,461,430,1880,957,923,4004,2110,1894,12956,6092,6864,2067,866,1201,250,93,157,1880,5884,8704.7,2958.0,1111,1231.6,141.5,462.6,53.1,5.31,92.1,32.83,1610,5993,268.6,8875.0,2389.0,3.71,1.16,13.35,2.43,3.142,12.5,0.25,112.0,56.0,56.0,6,0,6
Maharlika,,1,0.3887,4332,2055,2277,144,58,86,164,89,75,308,147,161,623,313,310,2780,1350,1430,621,245,376,86,24,62,308,931,11144.8,768.0,199,1975.8,177.3,512.0,45.9,4.59,90.3,33.01,247,1229,201.0,3733.0,1292.0,2.89,1.02,7.35,3.02,3.804,2.99,0.0,11.0,6.0,5.0,8,0,8
Malaya,,4,0.1315,2588,1304,1284,93,42,51,106,51,55,199,93,106,465,266,199,1665,836,829,259,109,150,21,7,14,199,664,19680.6,638.0,187,4851.7,246.5,1422.1,72.3,7.23,101.6,32.03,169,751,225.0,2323.0,730.0,3.18,1.15,48.22,10.96,3.309,14.39,0.28,23.0,12.0,11.0,0,0,0
Mangga,,3,0.0811,913,439,474,41,20,21,39,16,23,80,36,44,190,86,104,557,273,284,86,44,42,4,1,3,80,270,11257.7,150.0,21,1849.6,164.3,258.9,23.0,2.3,92.6,31.11,69,261,264.4,744.0,232.0,3.21,1.03,3.02,3.88,4.633,46.55,0.0,7.0,1.0,6.0,0,0,0
Manresa,,1,0.8319,17159,8758,8401,1192,640,552,1103,562,541,2295,1202,1093,3790,1964,1826,9933,5097,4836,1141,495,646,109,27,82,2295,6085,20626.3,1988.0,449,2389.7,115.9,539.7,26.2,2.62,104.2,28.18,1922,4524,424.8,12962.0,4134.0,3.14,1.04,28.86,3.51,3.064,21.44,4.0,146.0,55.0,91.0,0,0,0
Mariana,,4,1.6531,11471,5071,6400,396,200,196,412,212,200,808,412,396,1639,827,812,7427,3186,4241,1597,646,951,249,80,169,808,2447,6939.1,2334.0,561,1411.9,203.5,339.4,48.9,4.89,79.2,36.97,680,3650,186.3,682.0,232.0,2.94,1.09,20.69,3.02,3.11,6.9,0.0,19.0,11.0,8.0,57,11,68
Mariblo,,1,0.1335,3433,1679,1754,150,76,74,185,85,100,335,161,174,646,336,310,2109,1043,1066,343,139,204,44,13,31,335,981,25715.4,638.0,162,4779.0,185.8,1213.5,47.2,4.72,95.7,31.05,275,977,281.5,2047.0,625.0,3.28,1.08,58.72,3.52,2.821,8.43,0.64,9.0,7.0,2.0,0,0,0
Marilag,,3,0.4627,12534,5862,6672,501,252,249,418,250,168,919,502,417,1699,828,871,8334,3935,4399,1582,597,985,146,32,114,919,2618,27088.8,2261.0,758,4886.5,180.4,1638.2,60.5,6.05,87.9,35.1,787,3677,214.0,3449.0,1125.0,3.07,1.16,28.71,1.87,2.537,2.22,0.09,54.0,19.0,35.0,45,4,49
Masagana,,3,0.164,4166,1903,2263,149,56,93,153,73,80,302,129,173,637,324,313,2646,1231,1415,581,219,362,68,17,51,302,939,25402.4,1033.0,243,6298.8,248.0,1481.7,58.3,5.83,84.1,33.97,247,1225,201.6,1288.0,426.0,3.02,1.13,40.38,8.45,3.525,4.93,0.23,37.0,21.0,16.0,0,0,0
Masambong,,1,0.343,8779,4314,4465,391,194,197,488,255,233,879,449,430,1738,893,845,5221,2567,2654,941,405,536,88,27,61,879,2617,25594.8,1746.0,360,5090.4,198.9,1049.6,41.0,4.1,96.6,30.23,736,2413,305.0,6440.0,1854.0,3.47,1.13,53.02,5.72,3.244,12.5,1.19,163.0,82.0,81.0,60,2,62
Matandang Balara,,3,3.3232,69397,34359,35038,4034,2113,1921,4046,2010,2036,8080,4123,3957,14556,7478,7078,41190,20343,20847,5571,2415,3156,383,110,273,8080,22636,20882.6,9516.0,2429,2863.5,137.1,730.9,35.0,3.5,98.1,30.04,6796,19097,355.9,42131.0,12005.0,3.51,1.06,16.57,3.08,3.385,8.35,0.75,445.0,192.0,253.0,161,4,165
Milagrosa,,3,0.2695,6775,3186,3589,307,149,158,300,144,156,607,293,314,1057,547,510,4264,1993,2271,847,353,494,112,23,89,607,1664,25139.1,1352.0,353,5016.7,199.6,1309.8,52.1,5.21,88.8,33.52,511,1920,266.1,2371.0,734.0,3.23,1.11,13.22,1.91,3.284,5.18,0.0,87.0,42.0,45.0,19,2,21
N. S. Amoranto (Gintong Silahis),,1,0.2448,5850,2763,3087,183,98,85,253,113,140,436,211,225,1020,503,517,3665,1754,1911,729,295,434,100,32,68,436,1456,23897.1,1160.0,325,4738.6,198.3,1327.6,55.6,5.56,89.5,32.67,362,1671,216.6,2756.0,840.0,3.28,1.14,9.29,4.52,3.99,13.71,0.12,50.0,20.0,30.0,1,1,2
