barangay,center_name,address,district
Masambong,Saint John Masambong II,4 Capuas St.,District 1
Talayan,Talayan Calamba,199 Calamba ext. Talayan Village,District 1
Sto. Domingo,Sto. Domingo,14 Maria Clara St.,District 1
Manresa,Manresa,Biak na Bato cor. Makaturing,District 1
Manresa,Matutum,Multi-Purpose Hall,District 1
San Jose,San Jose,80 Tendido St.,District 1
Pag-ibig sa Nayon,Pag-ibig sa Nayon,23 J. Pineda St.,District 1
Balingasa,Tibagan,11 Road Harmony St.,District 1
Balingasa,Sitio Sto. Cristo,#25 Sitio Sto. Cristo,District 1
N.S. Amoranto,N.S. Amoranto,Barangay Hall Angelo St.,District 1
Salvacion,Salvacion,#74 Bulusan St.,District 1
Paang Bundok,Paang Bundok,"Barangay Hall 166 Iriga St., La Loma",District 1
Sta. Teresita,Sta. Teresita,Mayon cor. Dapitan St. Barangay Hall Compd.,District 1
San Isidro Labrador,San Isidro Labrador,#91 Halcon St.,District 1
Holy Spirit,Kaligtasan,"120 Don Vicente Kaligtasan St., Brgy. Holy Spirit",District 2
Holy Spirit,Barangay Complex,"Don Faustino St., (inside Barangay Hall compound) Brgy. Holy Spirit",District 2
Holy Spirit,Kasiyahan,"Kasiyahan Covered Court, Brgy. Holy Spirit",District 2
Holy Spirit,Sto. Niño,"Side of Sto. Niño Covered Court, Brgy. Holy Spirit",District 2
Holy Spirit,Mapayapa,"Area 7 Nawasa Line, Brgy. Holy Spirit",District 2
Holy Spirit,Sto. Domingo,"Republic Chapel (inside the gate), Brgy. Holy Spirit",District 2
Holy Spirit,St. Catherine,"St. Catherine St., Brgy. Holy Spirit",District 2
Holy Spirit,Zebra,"San Simon St. (back of Brgy. Annex), Brgy. Holy Spirit",District 2
Batasan Hills,Jasmin,"Lot 35-A, Jasmin St., Brgy. Batasan Hills",District 2
Batasan Hills,Luzviminda,"Luzviminda Subd., Brgy. Batasan Hills",District 2
Batasan Hills,Talanay,"31 Alton St., Sitio Talanay, Brgy. Batasan Hills",District 2
Batasan Hills,Area 3 Sitio Talanay,"Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Brgy. Batasan Hills",District 2
Batasan Hills,Pook Pag-asa,"B1 L21 Pook Pagasa St., Brgy. Batasan Hills",District 2
Batasan Hills,Kalayaan B1,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2
Batasan Hills,Kalayaan B2,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2
Batasan Hills,Kalayaan B3,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2
Batasan Hills,Freedom Park 3 & 4,"Fortune St., Brgy. Batasan Hills",District 2
Batasan Hills,Freedom Park 5,"Jordan St., Freedom Park 5, Brgy. Batasan Hills",District 2
Batasan Hills,De Gloria,"De Gloria Taniman Ext. Talanay Area, Brgy. Batasan Hills",District 2
Commonwealth,Kasunduan,"Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Brgy. Commonwealth",District 2
Commonwealth,Kaunlaran,"Lot 9A, Unit 2, Kaunlaran St., Brgy. Commonwealth",District 2
Commonwealth,Litex,"Payatas Road corner Bayanihan St., Brgy. Commonwealth",District 2
Commonwealth,Soliven,"Commonwealth Heights, Soliven St. corner President Quezon St., Brgy. Commonwealth",District 2
Commonwealth,E. Castillo,"E. Castillo St., Brgy. Commonwealth",District 2
Commonwealth,Don Fabian,"Don Fabian, Brgy. Commonwealth",District 2
Commonwealth,Gold,"Gold St., near Commonwealth Highschool, Brgy. Commonwealth",District 2
Commonwealth,Unit IV,"Unit IV, Plaza Riverside, Brgy. Commonwealth",District 2
Commonwealth,Unit V,"Ground floor, DCC Paulate Bldg., Bato bato St., Brgy. Commonwealth",District 2
Commonwealth,Upper Nawasa,"Unit VII Upper NAWASA, Brgy. Commonwealth",District 2
Commonwealth,Pinadama,"Pinadama Pilot Drive, Brgy. Commonwealth",District 2
Commonwealth,Purok 12,"Purok 12, Adarna St., Brgy. Commonwealth",District 2
Commonwealth,Purok 15,"Purok 15, Pinagnayon St., Brgy. Commonwealth",District 2
Commonwealth,Purok 16,"Unit V, Purok 16, Brgy. Commonwealth",District 2
Commonwealth,Purok 20,"Unit V, Purok 20, Brgy. Commonwealth",District 2
Commonwealth,Lower Nawasa,"Purok 6, Unit 7 Lower NAWASA, Brgy. Commonwealth",District 2
Commonwealth,Gravel Pit,"St. Paulia St., Gravel Pit, Brgy. Commonwealth",District 2
Bagong Silangan,Bagong Silangan,"Lot 1, Block 18, Bonifacio St., corner Geronimo St. (beside Brgy. Hall), Brgy. Bagong Silangan",District 2
Bagong Silangan,Sitio Veterans I,"Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan",District 2
Bagong Silangan,Sitio Veterans II,"Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan",District 2
Bagong Silangan,Asprer,"Area 6, Bgy. Bagong Silangan, Brgy. Bagong Silangan",District 2
Bagong Silangan,Covenant,"David St., Covenant Village, Brgy. Bagong Silangan",District 2
Bagong Silangan,Area 5,"Lot 1 Block 18, Baesang Pass St., Area 5, Sitio Veterans, Brgy. Bagong Silangan",District 2
Bagong Silangan,Bakas,"052A Bakas Compound, Brgy. Bagong Silangan",District 2
Bagong Silangan,Filside,"Lot Block 6, Filside Homes, Brgy. Bagong Silangan",District 2
Bagong Silangan,Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)",District 2
Payatas A,Springfield,"Springfield St., Brgy. Payatas",District 2
Payatas A,Sto. Niño De Payatas I,"Ground floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas",District 2
Payatas A,Sto. Niño De Payatas II,"Second floor, SÑDP CDC, Sto. Niño De Payatas St., Brgy. Payatas",District 2
Payatas A,Azucena,"Azucena St., Brgy. Payatas",District 2
Payatas A,Upper Everlasting,"Upper Everlasting, Brgy. Payatas",District 2
Payatas A,Lower Everlasting,"Lower Everlasting (Sto. Niño Gala), Brgy. Payatas",District 2
Payatas A,Banaba,"Banaba St., Brgy. Payatas",District 2
Payatas B,Empire,"Empire St., Brgy. Payatas",District 2
Payatas B,Bahay Pangarap,"48 Bulacan St., near brgy. hall, Brgy. Payatas",District 2
Payatas B,Golden Shower,"Golden Shower St., Brgy. Payatas",District 2
Payatas B,Narraville,"Lower Narra St., Brgy. Payatas",District 2
Payatas B,Molave,"Molave St., near Tahanan, Brgy. Payatas",District 2
Payatas B,Mutya,"Mutya St., Brgy. Payatas",District 2
Payatas B,Lupang Pangako,"Phase 2, Park 13, Lupang Pangako, Brgy. Payatas",District 2
Payatas B,Phase IV-A,"Ground floor, Livelihood Center, Davao St., Phase IV, Brgy. Payatas",District 2
Payatas B,Phase IV-B,"2nd floor, Livelihood Center, Davao St., Phase IV, Brgy. Payatas",District 2
Silangan,Silangan,"193 Ermin Garcia St., Cubao, Brgy. Silangan",District 3
Socorro,Socorro,"#1 15th ave. cor. Boni Serrano Rd., Brgy. Socorro",District 3
E. Rodriguez Sr.,E. Rodriguez Sr.,"181 Ermin Garcia St., Cubao, Brgy. E. Rodriguez Sr.",District 3
West Kamias,West Kamias,"2nd Flr. Barangay Hall, 2 K 10th St., , Brgy. West Kamias",District 3
East Kamias,East Kamias,"65 K 10th St., Brgy. East Kamias",District 3
Quirino 2A,Quirino 2A,"Anonas St., Brgy. Quirino 2A",District 3
Quirino 2B,Quirino 2B,"157B Pajo St., cor. Langka, Proj. 2, Brgy. Quirino 2B",District 3
Quirino 2C,Quirino 2C,"179 Bignay St., Project 2, Brgy. Quirino 2C",District 3
Quirino 3B/ Claro,Claro,"20 Almon St., Brgy. Claro",District 3
Duyan-duyan,Duyan-duyan,"Kamagong St., cor. Kalanatas St., Brgy. Duyan-duyan",District 3
Amihan,Amihan,"Bgy. Hall, Palosapis St., Brgy. Amihan Quezon City",District 3
Old Balara,Area I Luzon,"Mafran Area I, Brgy. Matandang Balara",District 3
Old Balara,Area VA,"Area 5 Luzon near INC Church, Brgy. Matandang Balara",District 3
Old Balara,Area VB,"2nd floor, Old Balara, Area 5 Luzon, Brgy. Matandang Balara",District 3
Old Balara,Feria I,"Ground Flr., Feria CDC, Dao St., Feria Road, Brgy. Matandang Balara",District 3
Old Balara,Feria II,"2nd Flr., Feria CDC, Dao St., Feria Rd., Brgy. Matandang Balara",District 3
Old Balara,Visayan Hills,"Visayan Hills, Brgy. Matandang Balara",District 3
Old Balara,Calderon,"251 Calderon St., Brgy. Matandang Balara",District 3
Old Balara,Dupax I,"Road 44 Dupax St., Bgy. Satellite, Brgy. Matandang Balara",District 3
Old Balara,Laura I,"Purok 3 Area 5 Ground Floor, Brgy. Matandang Balara",District 3
Old Balara,Laura II,"Purok 3 Area 5 2nd Floor, Brgy. Matandang Balara",District 3
Old Balara,Bahay Bulilit,"Bgy.Hall Compound, Villa Beatriz, Brgy. Matandang Balara",District 3
Old Balara,Sapang Kangkong,"168 Kilusan St., Brgy. Matandang Balara",District 3
Old Balara,Villa Beatriz,"Villa Beatriz Extension, Brgy. Matandang Balara",District 3
Old Balara,Samadores,"Area 2, Luzon, Brgy. Matandang Balara",District 3
Pansol,Pansol Proper,"SK Building Plaza St., Barangay Hall, Brgy. Pansol",District 3
Pansol,Kaingin I,"Block 1 Kaingin 1, Brgy. Pansol",District 3
Pansol,Kaingin II,"Bungad Kaingin II, near Bgy. Hall Extension, Brgy. Pansol",District 3
Loyola Heights,Loyola Heights,"Loyola Heights Brgy. Hall Compound, E. Abada St., Katipunan, Brgy. Loyola Heights",District 3
Loyola Heights,Daan Tubo,"Area II, across Dela Estrada Church, Brgy. Loyola Heights",District 3
San Roque,San Roque,"85 19th ave., Brgy. San Roque",District 3
Villa Maria Clara,Villa Maria Clara,"Barangay Hall, Rajah Matanda, Brgy. Villa Maria Clara",District 3
Bayanihan,Bayanihan,"321 Pedro Martinez St. Project 4, Brgy. Bayanihan",District 3
Masagana,Masagana,"7 Conchu St., Project 4, Brgy. Masagana",District 3
Mangga,Mangga,"950 Int. Aurora Blvd., Cubao, Brgy. Mangga",District 3
Camp Aguinaldo,Camp Aguinaldo,"General Lim St., Brgy. Camp Aguinaldo",District 3
Libis,Libis,"Brgy. Hall, E. Rodriguez Jr. Avenue, Brgy. Libis",District 3
Milagrosa,Milagrosa,"5K Oval Belarmino St., Brgy. Milagrosa",District 3
Bagumbayan,Bagumbayan,"75 San Roque St., Brgy. Bagumbayan",District 3
Escopa 2,Escopa 2,"Mapagmahal St., Barangay Hall, Brgy. Escopa 2",District 3
Escopa 3,Escopa 3A,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3",District 3
Escopa 3,Escopa 3B,"P. Burgos PUD Site Bliss, Brgy. Hall Compound, Project 4, Brgy. Escopa 3",District 3
Escopa 4,Escopa 4,"Senior Citizen Bldg. Escopa 4 Ibaba, Brgy. Escopa 4",District 3
Dioquino Zobel,Dioquino Zobel,"18 Lizardo St. 20th Ave., Brgy. Dioquino Zobel",District 3
Bagumbuhay,Bagumbuhay,"Plaza Malvar, Malvar St., Brgy. Bagumbuhay",District 3
Marilag,Marilag I,"Plaza Camerino, Camerino St., Brgy. Marilag",District 3
Marilag,Marilag II,"Plaza Camerino, Camerino St., Brgy. Marilag",District 3
Tagumpay,Tagumpay,"2B P. Tuazon Blvd., Brgy. Tagumpay",District 3
Obrero,Obrero,"Brgy. Obrero Bgy Hall, Parkway St. cor. Tomas Morato Ave.",District 4
Paligsahan,Paligsahan,Roces Avenue Brgy. Paligsahan,District 4
Kamuning,Kamuning,"Bgy. Hall, #113 Kamuning Rd. Brgy. Kamuning",District 4
South Triangle,South Triangle,Brgy. South Triangle Barangay Hall Sct. Bayoran St.,District 4
Roxas,Roxas,Champaca cor. Dahlia St. Brgy. Roxas,District 4
Pinagkaisahan,Pinagkaisahan,Ermin Garcia St. (near Bernardo Park),District 4
Immaculate Concepcion,Hillcrest,"Hillcrest St., Cubao (sidewalk) Brgy. Immaculate Concepcion",District 4
Immaculate Concepcion,F. Manalo,F. Manalo St. Brgy. Immaculate Concepcion,District 4
Kaunlaran,Planas Site,Planas Site III St. Brgy. Kaunlaran,District 4
San Martin de Porres,San Martin de Porres I,Conrado Benitez St. Brgy. San Martin de Porres,District 4
San Martin de Porres,San Martin de Porres Annex,Conrado Benitez St. Brgy. San Martin de Porres,District 4
Horseshoe,Horseshoe,"Brgy. Horsehoe Bgy. Hall, Sunset Drive",District 4
Tatalon,Manunggal I,Manunggal St. Brgy. Tatalon,District 4
Tatalon,Manunggal II,"#15 Senior Citizen Bldg., Manunggal St. Brgy. Tatalon",District 4
Kristong Hari,Kristong Hari,"Broadway, Brgy. Kristong Hari",District 4
Damayang Lagi,Damayang Lagi,Block 4 (Chapel) E. Rodriguez Sr. Ave. Brgy. Damayang Lagi,District 4
San Isidro Galas,San Isidro Galas,"Brgy. San Isidro Galas Bgy. Hall Compound, Unang Hakbang St.",District 4
Sto Niño,Sto. Niño,Inocando St. Corner Santol St. Brgy. Sto. Niño,District 4
Santol,Santol,"Brgy. Santol Brgy. Hall, Silencio cor. Baloy St.",District 4
Doña Imelda,Chamberette Doña Imelda,Chamberette Building Guirayan St. Brgy. Doña Imelda,District 4
Doña Imelda,Palanza,#38 Kapiligan St. Brgy. Doña Imelda,District 4
Doña Josefa,Doña Josefa,Brgy. Doña Josefa Brgy. Hall Agno cor. Kitanlad St.,District 4
Don Manuel,Don Manuel,L. Castillo corner Matimyas St. Brgy. Don Manuel,District 4
Doña Aurora,Doña Aurora,E. Jacinto St. Brgy. Doña Aurora,District 4
Old Capitol Site,Old Capitol Site,Masaya St. Interior (near Bgy. Hall) Brgy. Old Capitol Site,District 4
Old Capitol Site,Pechayan,Zone 1 Brgy. Old Capitol Site,District 4
San Vicente,San Vicente,Fatima St. cor. Maayusin Ext. Brgy. San Vicente,District 4
U.P. Campus,Amorsolo,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus",District 4
U.P. Campus,Amorsolo II,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus",District 4
U.P. Campus,Pook Village B,Pook Village B Brgy. UP Campus,District 4
U.P. Campus,Pook Libis,Pook Libis Brgy. UP Campus,District 4
U.P. Campus,Pook Daang Tubo,Pook Daang Tubo Brgy. UP Campus,District 4
Central,Forestry,BFD Compound Brgy. Central,District 4
Central,Kalayaan,#81 Kalayaan Ave. Brgy. Central,District 4
Central,Botanical,128 Orchid St. Brgy. Central,District 4
Central,Quezon City Yakap,"QC Hall Compound, Brgy. Central (Back of QC Public Library)",District 4
Krus na Ligas,KNL-CDO,V. Francisco St. (beside KNL High School) Brgy. Krus Na Ligas,District 4
Krus na Ligas,Sitio Lambak,Flores St. Brgy. Krus Na Ligas,District 4
Krus na Ligas,Kabalitang,Kabalitang St. Brgy. Krus Na Ligas,District 4
Botocan,Botocan,"Brgy. Botocan Brgy. Hall, Makadios St.",District 4
Malaya,Malaya,"Brgy. Malaya Brgy. Hall, Matahimik St.",District 4
Pinyahan,Pinyahan Proper,"#35 Malakas St. Brgy. Hall Compd., Brgy. Pinyahan",District 4
Greater Lagro,Greater Lagro I,"1st floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro",District 5
Greater Lagro,Greater Lagro II,"2nd floor Greater Largo Daycare Center Building, Ascension Rd., Greater Lagro Subd. Brgy. Greater Lagro",District 5
Pasong Putik Proper,SAMAPINA,"Block 1 Lot 60 Sampaguita St. Maligaya Park, Brgy. Pasong Putik Proper",District 5
Pasong Putik Proper,Pechayan,"Block 31 Lot 23 Ilang-Ilang St. Pechayan Kanan, Maligaya Park, Brgy. Pasong Putik",District 5
North Fairview,Milenyo,"Milenyo Daycare Center Building, Milenyo St. Phase 8-I, Brgy. North Fairview",District 5
North Fairview,Avon,"13-A Avon St., North Fairview Subd., Brgy. North Fairview",District 5
North Fairview,NAMAPA,"NAMAPA Compound, Brgy. North Fairview",District 5
North Fairview,Phase 8-I,"1st Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview",District 5
North Fairview,Phase 8-II,"2nd Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview",District 5
Fairview,Fairview,"Ground floor Vargas Hall, Barangay Hall Complex, Dahlia St., Brgy. Fairview",District 5
Fairview,Sitio Ruby,"Sitio Ruby St. SERNAI East Fairview, Brgy. Fairview",District 5
Fairview,MMTC,"Basilio St., cor Republic Ave., Brgy. Fairview",District 5
Fairview,Sitio Kislap,"Sitio Kislap Pearl St, Brgy. Fairview",District 5
Fairview,Sitio Urlina,Sitio Urlina Lilac St. Brgy. Fairview,District 5
Fairview,SAPAMANAI,"2nd Floor SAPAMANAI Bldg., Molave St. cor Mahogany St. Brgy Fairview",District 5
Fairview,Sitio RABOSNA,"14 Ruby St Sitio Rabosna, Brgy. Fairview",District 5
Kaligayahan,Kingfisher,Kingfisher St. Zabarte Subd. Brgy. Kaligayahan (beside Kaligayahan Health Center),District 5
Kaligayahan,Junji,"Junji Street, Rolling Hills Western Village, Brgy. Kaligayahan",District 5
Kaligayahan,Mockingbird,"Barangay Kaligayahan Hall, Mockingbird St. Zabarte Subd., Brgy. Kaligayahan",District 5
Kaligayahan,Tawid Sapa I,"Blk. 10 Phase 1, Kalinga Tawid Sapa, Brgy. Kaligayahan",District 5
Kaligayahan,Tawid Sapa II,"Zone 1 cor. Sampalucan St., Tawid Sapa, Brgy. Kaligayahan",District 5
Kaligayahan,Bistekville 2,"1st Flr Bistekville II Multi-Purpose Hall Building, Brgy. Kaligayahan",District 5
Sta. Lucia,Bonifacio,"2/F BPSO Building, Brgy. Hall Compound, A. Bonifacio St. Brgy. Sta. Lucia Ave.",District 5
Sta. Lucia,Balagtas,25 Balagtas St. cor. M. Aquino St. Brgy. Sta. Lucia,District 5
Sta. Lucia,Sitio 6,"Lot 18 Blk 52, Abad Santos St, Sitio 6, Brgy. Sta Lucia",District 5
Sta. Lucia,Tarhaville,"Blk 13 Lapu-lapu, Tarhaville Village, Brgy. Sta Lucia",District 5
Sta. Lucia,Plainville,"St. Joseph St., Plainville Subdivision",District 5
San Agustin,St. Francis,"Barangay Hall Compd., Patnubay Street, St. Francis Village",District 5
San Agustin,T.S. Cruz,"T.S. Cruz Day Care and Livelihood Center, Fidel St., T.S. Cruz Subdivision, Brgy. San Agustin",District 5
San Agustin,Nova Homes,"Narra St., Nova Homes Subd. Brgy. San Agustin",District 5
Novaliches Proper,Novaliches Proper I,"3rd Floor, Livelihood CHILD DEVELOPMENT CENTER Bldg., Nova Plaza, Buenamar St.,Brgy. Novaliches Proper",District 5
Novaliches Proper,Novaliches Proper II,"2nd Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper",District 5
Novaliches Proper,Doña Rosario,"Ground Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper",District 5
Nagkaisang Nayon,Nagkaisang Nayon I,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Nagkaisang Nayon II,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Jonaville I,"St.Joseph St., Jonaville Subdivision, Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Villa Nova,"St. Michael St. cor Francis St. Villanova Subd., Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Lazaro,"Lot 5 Blk 5, Damong Maliit, Lazaro Subd., Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Pasacola I,"Blk 1, Dormitory Phase 1 (Nagkakaisang Lakas) , Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Pasacola II,"Lot 158-B, Area C, Pasacola, Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Robina,"Robina Rd. Sierra Vista Subd., Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,St. Andrew,"Sampaguita St., Dantes Subd., Damong Maliit, Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Queensland I,"Princess Grace St., Queensland Phase I Subd., Damong Maliit, Brgy. Nagkaisang Nayon",District 5
Nagkaisang Nayon,Queensland II,"Ground Floor Vargas Building, Blk 5 Lot 14 Ruby St. Queensland 2 Village, Brgy Nagkaisang Nayon",District 5
Capri,Champaca,"Barangay Hall Building, Sampaguita St., Area 5",District 5
Capri,Narra,"Barangay Hall Building, Sampaguita St., Area 5",District 5
Sta. Monica,Aguardiente,"1st floor Barangay Sta Monica Daycare Center Building, Pugong Ginto St., Aguardiente, Brgy. Sta Monica",District 5
Sta. Monica,Sta. Monica,"Barangay Hall Compd., Moises St., Jordan Plains Subd., Brgy. Sta Monica",District 5
Sta. Monica,Palmera,"Multi-purpose Hall Mangga St. Phase I-A Palmera Homes, Brgy. Sta Monica",District 5
Gulod,Joan of Arc,"2nd Floor HOA Bldg., Victoria St. Joan of Arc, Brgy. Gulod",District 5
Gulod,Villareal,"3rd floor Old Barangay Hall Building, Quirino Highway, Brgy. Gulod",District 5
Gulod,POCC (Holy Trinity),"Nenita Extn. POCC Compound Area VI, Brgy. Gulod",District 5
Gulod,Nitang,# 47 Nitang Avenue Brgy Gulod,District 5
Gulod,Don Crispulo,"Bering St. cor Don Crispulo Street, Area V, Brgy. Gulod",District 5
Gulod,Florentina,"Interior Florentina St. Castro Compound, Brgy. Gulod",District 5
Gulod,Golden HOA I,"Ground flr. Golden HOA Livelihood Center Building, Golden HOA Area, Brgy Gulod",District 5
San Bartolome,Nomar 2,"Santan St., Nomar Subd., Brgy. San Bartolome",District 5
San Bartolome,Angela,"2nd flr. Vargas Hall, Marcos St., Doña Faustina",District 5
San Bartolome,Sampaguita,"Sampaguita Compound, Atlas Road, Brgy. San Bartolome",District 5
Bagbag,Goodwill Homes 2,"Mark St. cor. Ruth St., Goodwill Homes 2 Subd., Brgy. Bagbag",District 5
Bagbag,Maligaya,"Mark St. cor. Ruth St., Goodwill Homes 2 Subd., Brgy. Bagbag",District 5
Bagbag,Remarville,"Asteroid St. cor. Pisces St., Remarville Subd., Brgy. Bagbag",District 5
Bagbag,Ibayo,"Ibayo 2 68 Pascual Road, Brgy. Bagbag",District 5
Bagbag,San Pedro IX,Santan St. San Pedro IX Subd. Brgy. Bagbag,District 5
Sauyo,Old Cabuyao,15 Old Cabuyao,District 6
Sauyo,135-99 (Alma Nova),135-99 Sauyo Rd.,District 6
Sauyo,Sitio Cabuyao I,"Area 5a, Sauyo Road",District 6
Sauyo,Sitio Cabuyao II,"Area 6, Sauyo Road",District 6
Sauyo,Baluyot,5 Baluyot I,District 6
Sauyo,MASARNA,"201 Mabuhay Compd., Sauyo Rd.",District 6
Sauyo,Lower Gulod,"135 Lower Gulod, Brgy. Sauyo",District 6
Talipapa,Talipapa,Siklot St. Pleasantville Subd.,District 6
Talipapa,Gloria V,"Candido St. cor. Sampaguita, Gloria V Subd.",District 6
Talipapa,La Trinidad,La Trinidad Village Whole Court,District 6
Talipapa,CANO,Blk 5 Lot 1 Sto. Niño Village,District 6
Talipapa,Campo 2,"Campo 2, Tandang Sora",District 6
Talipapa,Del Nacia,Dal Nacia 3 Subd.,District 6
Baesa,Asamba,Asamba Compound Sitio Compound,District 6
Baesa,Sitio Pajo,GK Sitio Pajo,District 6
Baesa,Howmart,Alley 2 Howmart St.,District 6
Baesa,F. Carlos,F. Carlos St. (near Basketball Court),District 6
Baesa,Mendez,Mendez Road,District 6
Sangandaan,Redemption 1,Parklane Ext. Gertrudes St. Livelihood Building,District 6
Sangandaan,Redemption 2,Parklane Ext. Gertrudes St. Livelihood Building,District 6
Sangandaan,Sitio San Roque,Sitio San Roque Compound,District 6
Sangandaan,Insurance,72 Insurance St.,District 6
Balon Bato,Balon Bato,11 E Maximina Drive beside Brgy. Hall,District 6
Unang Sigaw,Unang Sigaw,3 North Diversion Rd. Balintawak,District 6
Apolonio Samson,Apolonio Samson,"Kaingin Rd., Bgy. Hall Apolonio Samson",District 6
Apolonio Samson,Apolonio Samson Annex,Bgy. Apolonio Samson,District 6
Apolonio Samson,Oliveros,26 M Oliveros Drive (Dulo),District 6
Pasong Tamo,Veterans Area I,"Area I, Freedom Park St. Veterans Village",District 6
Pasong Tamo,Veterans Area II,Corner Diego Silang St. Veterans Village,District 6
Pasong Tamo,Veterans Area III,7th Street Veterans Village Area 3,District 6
Pasong Tamo,Pingkian II,Pingkian II,District 6
Pasong Tamo,Pingkian 3 Zone 2,"Lily St. Pingkian 3, Zone 2",District 6
Pasong Tamo,Pingkian 3 Zone 3,Santan St.,District 6
Pasong Tamo,Centerville,Philand back of basketball court,District 6
Tandang Sora,Carmel V,"37 Taurus St., Carmel V",District 6
Tandang Sora,Tandang Sora Shrine,228 Banlat Road,District 6
Tandang Sora,Apo Ville,"Multi-Purpose Hall Delta Vill. Ext., Tandang Sora",District 6
Culiat,Purok I,"251 Purok I, Luzon Avenue",District 6
Culiat,Metro Heights,"Adelfa Metro Heights, Visayas Ave.",District 6
Culiat,Cenacle Drive,"5A Cenacle Drive, Sitio Mabilog",District 6
